id,lat,lng,status,summary,rating,description,created_at,updated_at,acknowledged_at,closed_at
1555598,41.2934006,-72.8893613,Open,Tree Workers,I saw the tree workers during the week cutting and trimming on Burwell just after Peat Meadow. Any chance of them returning to cut down that aminously large branch that hangs over the street in front of 118 Burwell? Looks like it could do some serious damage if it gives way. ,1,2015-03-27T09:52:21-04:00,2015-03-27T09:52:21-04:00,,None
1555555,41.3092808,-72.9122733,Acknowledged,Potholes,I currently work at Rexel located at 180 Hamilton Street in new haven. The potholes on the street are causing damage to the customers' cars entering the driveway. If you could assess the problem it would be much appreciated,5,2015-03-27T09:50:09-04:00,2015-03-27T16:41:56-04:00,2015-03-27T16:41:56-04:00,2015-03-27T09:54:02-04:00
1555395,41.2982350375708,-72.8902636954925,Acknowledged,Potholes,Unavoidable potholes on the entire street. Large deep potholes,3,2015-03-27T09:38:03-04:00,2015-03-27T16:44:16-04:00,2015-03-27T16:42:53-04:00,None
1555366,41.2724869,-72.9006687,Open,"Public Space, Streets and Drains","Old Access cover to a list station,",1,2015-03-27T09:22:02-04:00,2015-03-27T09:22:02-04:00,,None
1555081,41.3137725926936,-72.9054368007928,Acknowledged,Pot holes ,"From James & Lombard all the way up to Humphrey & east. Holy potholes... Now way to.avoid them..m....",5,2015-03-27T00:58:43-04:00,2015-03-27T11:39:36-04:00,2015-03-27T09:25:08-04:00,None
1555080,41.307409722358,-72.8843740839511,Acknowledged,HUGE POT hole on out bound side ( going up.hill) side of road,,4,2015-03-27T00:56:18-04:00,2015-03-27T09:21:59-04:00,2015-03-27T09:21:59-04:00,None
1555078,41.3073180243373,-72.8809788264334,Acknowledged,Potholes,The are hugh pot holes at both the e grand and summit intersection and down the block right after #380. Almost near corner of Clifton st,3,2015-03-27T00:53:40-04:00,2015-03-27T16:45:03-04:00,2015-03-27T16:45:03-04:00,None
1555076,41.3064643274993,-72.8809535130858,Acknowledged,Pothole,,3,2015-03-27T00:50:55-04:00,2015-03-27T09:20:23-04:00,2015-03-27T09:20:23-04:00,None
1555074,41.3073201198131,-72.8809738811105,Acknowledged,Potholes,,3,2015-03-27T00:49:21-04:00,2015-03-27T09:19:59-04:00,2015-03-27T09:19:58-04:00,None
1554792,41.2972261958067,-72.8880374899383,Open,Illegal Dumping,Dump site,2,2015-03-26T19:05:21-04:00,2015-03-27T09:57:43-04:00,,None
1554732,41.3214988681456,-72.9120864868164,Open,Keys found,Found set of two keys. Pick them up at the cash register of Romeo's grocery on Orange/Linden.,3,2015-03-26T18:29:52-04:00,2015-03-27T06:34:12-04:00,,None
